Serial No. of Polling Station,NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHA,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
122,116,680,0,0,17,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,819,0,19,838,
123,188,212,0,0,4,0,0,0,0,0,0,0,1,0,2,1,3,1,0,0,0,0,0,0,1,413,0,3,416,
124,162,273,5,2,3,0,0,0,0,1,0,0,0,0,6,8,8,1,0,0,0,0,0,1,0,470,0,5,475,
125,86,414,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,507,0,8,515,
126,276,463,1,34,9,0,0,0,2,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,1,792,0,9,801,
127,132,558,2,1,13,0,3,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,716,0,9,725,
128,141,565,1,1,6,0,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,720,0,9,729,
129,81,163,0,0,2,0,0,1,0,0,2,0,0,0,0,1,1,1,0,0,0,1,0,0,1,254,0,8,262,
130,177,305,3,0,4,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,494,0,2,496,
131,342,234,35,1,1,0,1,0,0,0,1,0,0,1,6,10,9,3,3,0,1,0,0,0,0,648,0,4,652,
132,150,224,4,0,0,0,0,1,0,0,0,2,0,1,1,5,3,1,0,0,0,0,1,0,0,393,0,2,395,
133,149,620,5,0,6,0,1,2,0,1,2,0,0,0,2,3,0,1,2,0,0,0,1,0,1,796,0,16,812,
