No Polling St.,,,,,,,,,,,,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,Chuhan Kesavbhai Malabhai (Master),C. R. Patil,Maksu d Mirza,Asla m Mistr y,Patel Bhupen drakum ar Dhirubh ai,Pyarel al Bharti,Mehul Patel,Warde Rajub hai Bhimr ao,Sonal Kellog g,Arun S. Pathak (Journal ist),Kesha vji L. Sarad va,Percy Munshi,Ramjan Mansuri (Journali st),Ravsha heb Bhimra v Patil (Bandh,Rohit Gandhi,Lataben Ashokku mar Dwivedi,Vimal Patel (Endh al),Saiyed Mehmu d Ahmed,Hasan Shaikh,,,,,
224,14,238,480,11,3,0,18,2,0,0,0,3,1,1,3,8,0,3,2,787,0,3,790,0
225,0,198,94,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,1,298,0,2,300,0
226,1,85,355,0,0,1,9,0,0,0,0,1,8,0,1,1,1,1,0,464,0,1,465,0
227,1,86,374,0,0,2,22,0,1,0,0,0,2,1,0,1,0,1,2,493,0,3,496,0
228,3,197,302,4,3,0,10,0,0,0,0,0,0,0,0,0,0,1,5,525,0,3,528,0
229,2,70,362,1,0,0,18,0,0,0,0,0,0,0,0,0,2,0,2,457,0,3,460,0
230,0,76,460,1,0,0,14,0,0,0,0,1,1,1,0,2,1,0,1,558,0,1,559,0
231,3,83,452,3,0,0,12,0,0,0,0,1,2,0,1,4,1,0,1,563,0,3,566,0
232,2,96,325,3,0,0,9,1,1,1,0,0,2,1,0,3,0,0,2,446,0,1,447,0
233,3,112,472,7,1,1,14,0,0,2,0,1,5,1,1,4,2,1,1,628,0,2,630,0
234,3,65,441,1,0,1,8,1,0,0,0,1,1,3,0,3,2,2,1,533,0,3,536,0
235,4,61,379,1,0,0,2,0,1,0,1,1,2,4,0,3,1,1,4,465,0,0,465,0
236,4,72,499,5,3,1,5,0,1,0,0,0,1,3,1,3,0,0,2,600,0,1,601,0
237,6,71,372,5,0,1,3,0,2,0,0,2,2,2,0,5,0,1,5,477,0,4,481,0
