Serial No of polling station,NO. OF VALID VOTES CAST IN FAVOUR OF,,,,,,,,,,,,,,,,,,,,,
,Koli Patel Somabhai Gandalal,Parmar Minaxiben Vijaybhai,Fatepara Devjibhai Govindbhai,Jethabhai Manjibhai Patel,Bar Ajmalbhai Karmanbhai,Majethiya Samaratbhai Jerambhai,Chavda Palabhai Nanjibhai,Parmar Prabhubhai Gokalbhai,Parmar Vashrambhai Bavalbhai,Makwana Ukabhai Amrabhai,Makwana Vasharambhai Karshanbhai,Mansinh Shivubha Zala,Vadaliya Kalubhai Malubhai,Vaghela Prakashbhai Bachubhai,Vora Bhavanbhai Devjibhai,Sapara Vipulbhai Rameshbhai,Sankaliya Gangarambhai Tapubhai,Total of Valid votes,No. of rejected Votes,Nota,Total,No. of tender ed votes
151,62,2,193,2,0,0,0,0,1,0,0,0,0,3,3,4,5,275,0,2,277,
152,324,13,220,6,1,0,1,2,0,1,2,0,2,1,2,10,9,594,0,5,599,
153,112,4,230,2,1,0,0,0,0,1,0,1,2,3,2,4,4,366,0,1,367,
154,279,2,35,2,2,1,1,1,0,1,1,0,1,0,0,3,3,332,0,2,334,
155,73,6,305,8,1,0,0,1,2,1,1,2,2,2,1,6,5,416,0,9,425,
156,190,4,267,5,0,0,0,1,3,1,0,2,0,6,5,8,11,503,0,3,506,
157,228,4,348,5,0,1,2,6,0,2,2,0,1,4,5,6,34,648,0,25,673,
158,75,3,301,1,0,1,0,0,2,0,0,0,2,1,1,10,6,403,0,4,407,
159,190,5,129,0,1,2,0,2,1,1,0,0,3,2,1,3,3,343,0,1,344,
160,197,4,149,6,0,0,0,1,0,1,0,4,0,4,2,4,7,379,0,6,385,
161,344,5,373,4,2,1,0,2,0,1,1,1,2,5,4,18,8,771,0,5,776,
162,70,7,319,6,2,1,0,4,0,1,2,5,0,2,4,15,13,451,0,33,484,
163,137,10,316,7,3,0,1,1,1,1,3,3,3,1,7,20,3,517,0,2,519,
164,102,4,328,0,0,0,0,2,3,1,0,1,2,1,6,8,2,460,0,4,464,
165,143,4,233,2,2,0,1,2,2,0,0,0,2,7,6,5,10,419,0,7,426,
166,211,11,207,8,2,4,1,1,5,2,1,1,2,4,6,19,9,494,0,7,501,
167,261,4,212,2,3,0,0,2,5,0,4,1,0,2,4,8,8,516,0,6,522,
168,157,6,338,6,3,0,0,2,1,0,1,0,2,4,5,14,16,555,0,21,576,
169,143,11,258,10,0,0,1,14,0,0,0,0,1,0,2,6,6,452,0,4,456,
170,80,7,329,11,0,1,2,1,3,2,1,2,2,3,3,10,5,462,0,6,468,
171,103,1,156,3,1,0,0,0,0,0,0,0,0,2,1,3,1,271,0,0,271,
172,84,2,190,15,2,0,1,5,1,1,0,12,2,5,2,8,8,338,0,3,341,
173,32,4,302,25,2,1,0,0,1,0,1,0,3,2,1,4,5,383,0,8,391,
174,129,11,231,28,0,0,1,0,1,0,0,4,0,5,3,5,4,422,0,1,423,
175,105,4,220,4,2,2,0,8,1,0,0,1,0,1,2,3,8,361,0,7,368,
176,102,3,351,12,1,1,1,6,4,1,1,4,1,5,3,7,2,505,0,6,511,
177,116,9,316,5,2,0,1,5,2,1,0,1,4,9,3,16,16,506,0,12,518,
178,116,7,411,10,1,0,0,2,2,1,3,2,2,0,9,8,11,585,0,10,595,
179,80,2,175,5,1,0,0,3,1,0,2,3,2,4,2,4,6,290,0,4,294,
180,25,3,144,4,0,0,2,1,0,0,0,2,1,1,0,4,1,188,0,1,189,
181,92,3,633,6,1,0,0,0,1,0,2,0,1,0,1,1,7,748,0,5,753,
182,43,6,287,2,0,2,1,1,1,0,0,3,1,0,3,0,2,352,0,5,357,
183,150,3,219,7,0,1,1,2,1,2,1,3,0,2,2,9,6,409,0,13,422,
184,171,4,250,3,0,1,1,0,0,0,0,0,1,2,2,13,12,460,0,7,467,
185,176,11,446,7,1,0,0,2,0,0,2,3,0,9,7,13,10,687,0,8,695,
186,305,16,363,5,4,1,4,4,4,1,4,5,5,3,6,22,1,753,0,5,758,
187,169,7,337,3,0,0,0,2,2,0,1,0,2,1,3,9,8,544,0,2,546,
188,218,2,114,5,0,1,0,0,0,1,0,0,0,0,0,7,10,358,0,1,359,
189,310,8,150,4,0,1,0,3,2,2,0,14,4,9,7,33,5,552,0,8,560,
190,104,4,239,6,0,1,0,2,0,0,1,12,0,1,2,6,6,384,0,5,389,
191,243,5,151,9,4,4,1,1,3,1,1,3,1,2,2,9,11,451,0,9,460,
192,148,7,269,5,0,2,0,1,0,0,0,2,3,2,3,14,4,460,0,0,460,
193,107,6,351,4,0,1,1,1,0,0,0,0,1,1,1,2,5,481,0,4,485,
194,34,1,179,5,1,1,0,0,1,1,1,1,0,0,3,2,0,230,0,2,232,
195,22,1,137,1,0,1,1,1,0,0,0,0,1,0,1,1,0,167,0,2,169,
196,92,2,342,12,1,0,0,1,2,1,0,2,1,3,1,4,5,469,0,12,481,
197,73,4,358,9,0,1,1,2,0,1,0,1,1,0,0,4,2,457,0,11,468,
198,152,6,270,14,2,2,1,1,1,0,0,0,0,1,3,4,6,463,0,11,474,
199,206,6,182,8,1,0,0,3,1,1,3,0,0,3,2,6,3,425,0,5,430,
200,224,5,206,15,0,0,1,2,0,1,1,0,2,1,0,1,7,466,0,6,472,
201,132,5,375,21,0,1,1,1,1,0,2,1,0,2,2,5,1,550,0,4,554,
202,77,8,464,13,2,0,3,0,0,1,2,6,3,5,2,12,1,599,0,3,602,
203,75,0,260,5,0,0,2,0,0,1,1,0,0,1,2,0,2,349,0,11,360,
204,128,2,380,11,2,0,0,0,3,3,1,2,2,3,3,8,4,552,0,6,558,
205,47,3,382,2,0,1,0,1,0,1,0,3,0,3,0,3,0,446,0,6,452,
206,53,7,391,3,1,0,0,1,0,0,5,1,0,2,3,2,9,478,0,8,486,
207,167,9,305,7,3,0,1,11,4,2,6,7,6,5,4,11,8,556,0,5,561,
208,102,5,119,5,0,0,1,4,1,0,0,0,0,2,2,5,3,249,0,4,253,
209,95,6,107,2,1,0,1,3,2,0,1,1,1,0,3,9,3,235,0,1,236,
210,125,7,205,4,2,0,0,3,1,1,1,0,0,3,6,11,4,373,0,4,377,
211,141,9,341,2,0,1,1,2,0,0,4,4,4,0,3,21,6,539,0,6,545,
212,131,9,274,7,2,1,3,1,1,3,1,3,1,2,6,14,8,467,0,11,478,
213,125,10,152,1,0,5,1,1,0,0,0,0,0,1,2,2,2,302,0,4,306,
214,196,4,168,32,1,0,2,5,4,2,2,1,2,4,1,1,12,437,0,1,438,
215,120,5,193,3,4,1,1,3,1,0,1,0,3,1,2,3,6,347,0,2,349,
216,86,2,346,4,0,0,0,1,0,0,0,0,1,5,3,5,0,453,0,2,455,
217,69,4,315,2,2,0,0,0,0,0,0,3,0,9,2,3,4,413,0,10,423,
218,452,9,165,5,1,4,2,1,1,1,1,4,2,2,9,32,18,709,0,8,717,
219,213,8,497,9,2,2,1,3,0,0,1,4,3,5,6,14,9,777,0,21,798,
220,330,17,576,3,0,1,0,5,9,2,2,2,10,9,7,13,18,1004,0,15,1019,
221,284,7,451,4,1,0,1,2,2,0,2,2,2,7,6,12,14,797,0,4,801,
222,69,2,134,1,0,0,0,1,0,0,0,2,0,0,1,1,2,213,0,2,215,
223,113,2,308,2,0,0,1,1,0,2,0,1,3,7,1,10,6,457,0,7,464,
224,223,9,234,4,2,1,2,0,2,1,4,2,5,3,8,25,4,529,0,4,533,
225,386,13,288,12,2,0,0,3,1,2,2,2,7,8,8,21,5,760,0,6,766,
226,277,10,396,7,1,2,0,2,2,4,2,0,1,6,9,24,13,756,0,7,763,
227,309,10,353,6,3,1,2,1,1,2,2,3,5,17,3,16,14,748,0,4,752,
228,345,7,303,3,1,3,2,2,2,3,3,2,7,6,7,11,23,730,0,8,738,
229,164,6,208,5,2,1,0,1,0,0,1,0,2,7,7,7,9,420,0,3,423,
