Serial No of polling station,,,,,,,,,,,,,,,,,,,,,,
,Koli Patel Somabhai Gandalal,Parmar Minaxiben Vijaybhai,Fatepara Devjibhai Govindbhai,Jethabhai Manjibhai Patel,Bar Ajmalbhai Karmanbhai,Majethiya Samaratbhai Jerambhai,Chavda Palabhai Nanajibhai,Parmar Prabhubhai Gokalbha,Parmar Vasharambhai Bavalbhai,Makvana Ukabhai Amrabhai,Makvana Vasharambhai Karshanbhai,Mansinh Shivubha Zala,Vadaliya Kalubhai Malubhai,Vaghela Prakashbhai Bachubhai,Vora Bhavanbhai Devajibhai,Sapara Vipulbhai Rameshbhai,Sankaliya Gangarambhai Tapubhai,valid,No. of rejected Votes (test votes),"Votes for ""NOTA"" option",Total,No. of tendered votes
144,197,19,185,20,2,0,0,40,2,0,0,1,4,1,3,4,10,488,0,5,493,0
145,157,1,128,2,0,0,1,0,0,0,0,1,1,3,0,4,3,301,0,2,303,0
146,227,6,70,2,4,1,1,2,0,0,0,0,0,1,2,3,9,328,0,3,331,0
147,125,16,635,6,2,3,2,1,4,4,2,4,2,9,4,12,8,839,0,16,855,0
148,79,5,303,12,0,1,1,0,0,0,0,0,0,1,0,2,2,406,0,4,410,0
149,120,1,410,39,0,0,1,0,0,0,1,2,1,8,1,5,6,595,0,9,604,0
150,202,5,196,3,0,0,0,2,0,1,0,2,0,1,6,7,6,431,0,5,436,0
151,202,3,327,6,1,0,0,1,1,1,2,0,2,4,0,5,9,564,0,8,572,0
152,241,3,204,3,1,1,1,0,0,0,0,2,0,0,4,6,6,472,0,2,474,0
153,129,5,378,2,1,0,1,2,0,0,0,0,0,2,1,8,2,531,0,2,533,0
154,64,3,234,5,0,1,0,0,1,0,1,1,0,3,4,4,0,321,0,4,325,0
155,139,9,402,10,0,1,0,1,1,0,0,1,1,1,1,10,2,579,0,5,584,0
156,25,0,299,9,0,0,1,1,1,0,0,1,0,6,1,1,2,347,0,2,349,0
157,76,5,107,4,2,0,0,0,0,2,1,0,1,3,2,3,4,210,0,3,213,0
158,138,8,276,7,1,2,0,1,1,0,0,2,1,1,1,12,5,456,0,7,463,0
159,131,11,391,9,1,0,0,1,1,0,0,4,1,5,3,6,5,569,0,4,573,0
160,118,3,211,8,1,0,1,0,1,0,0,0,0,1,0,3,4,351,0,4,355,0
161,117,5,486,10,2,0,0,1,2,1,2,0,0,5,2,3,7,643,0,4,647,1
162,90,5,311,6,2,1,0,0,1,1,0,0,1,5,1,2,3,429,0,2,431,0
163,85,2,188,2,1,0,3,0,0,0,0,1,2,2,2,4,2,294,0,4,298,0
164,156,8,119,1,1,0,1,0,1,2,1,0,1,6,3,10,16,326,0,7,333,0
165,200,6,236,2,0,20,1,3,1,0,1,0,2,5,4,10,5,496,0,8,504,0
166,100,32,95,5,3,0,2,0,2,0,1,1,3,0,3,8,1,256,0,4,260,0
167,141,4,149,2,1,1,2,1,0,0,0,1,4,1,4,7,4,322,0,6,328,0
168,39,5,798,6,0,0,0,1,1,0,0,8,1,4,3,1,1,868,0,4,872,0
169,107,4,381,3,0,0,1,0,0,0,0,2,0,2,1,0,2,503,0,0,503,0
170,78,1,138,1,2,0,0,0,0,1,0,0,0,1,1,1,2,226,0,2,228,0
171,82,5,396,10,0,0,0,0,0,1,1,0,1,2,3,4,0,505,0,4,509,0
172,166,4,475,12,4,1,0,7,1,1,1,3,2,2,2,9,9,699,0,6,705,0
