Serial No. of Polling Station,,,,,,,,,,,,,,,,,,,,,,,,,,valid,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
133,114,104,0,2,0,0,0,0,1,0,0,2,0,1,0,1,2,1,0,0,0,1,1,1,1,232,0,2,234,
134,160,246,4,0,1,0,1,0,0,0,0,0,1,0,3,6,2,3,2,0,0,0,0,1,1,431,0,0,431,
135,111,129,0,0,7,0,1,0,0,1,0,5,1,1,1,11,2,2,1,2,0,0,0,1,2,278,0,2,280,
136,126,237,2,0,2,1,0,1,0,0,0,1,0,0,2,6,6,7,0,0,0,0,0,0,1,392,0,3,395,
137,190,140,0,1,1,0,0,0,1,0,0,2,0,0,4,5,5,0,0,0,0,0,0,0,1,350,0,0,350,
138,301,196,5,5,2,1,1,0,0,1,4,120,6,2,3,11,4,0,10,0,1,1,0,1,1,676,0,3,679,
139,261,110,2,0,1,0,1,1,0,0,0,2,0,1,2,6,5,1,2,0,1,2,0,1,0,399,0,3,402,
140,250,94,4,1,0,2,2,1,0,0,0,3,4,0,4,8,4,3,0,0,1,0,1,0,2,384,0,1,385,
141,370,105,7,0,0,2,2,0,3,0,0,1,0,1,0,7,3,3,0,0,0,0,1,0,0,505,0,3,508,
142,252,69,1,0,0,0,1,1,0,0,0,0,0,1,1,5,5,3,1,0,0,0,0,0,0,340,0,3,343,
143,240,244,3,1,4,1,1,1,1,1,1,2,1,2,3,5,8,4,1,0,0,0,0,1,0,525,0,3,528,
144,167,257,6,0,3,0,0,1,0,0,0,1,2,2,3,8,10,2,0,0,1,0,0,2,0,465,0,8,473,
145,204,137,2,0,2,0,0,0,1,1,0,3,0,0,3,3,6,0,0,0,0,0,1,1,2,366,0,2,368,
146,308,144,0,1,1,0,0,0,1,0,0,3,0,0,2,4,6,3,0,0,0,0,1,2,1,477,0,5,482,
147,330,134,4,1,2,1,1,0,0,0,0,3,0,0,0,5,7,1,2,0,0,1,0,1,0,493,0,3,496,
148,174,98,1,0,0,1,2,0,0,0,0,2,1,1,0,1,2,2,0,0,0,0,1,0,0,286,0,2,288,
149,192,105,5,0,0,1,0,0,1,0,0,3,0,1,1,7,3,2,1,0,1,0,0,0,1,324,0,1,325,
150,176,61,1,1,0,0,1,0,1,0,2,0,0,0,2,8,3,3,0,1,0,0,0,1,0,261,0,4,265,
151,89,130,2,1,1,0,0,1,0,0,0,0,1,1,3,1,1,4,0,0,1,0,0,0,1,237,0,2,239,
152,150,121,2,1,0,0,1,0,0,0,0,4,0,0,4,4,0,1,0,0,0,0,1,0,1,290,0,2,292,
153,168,183,4,3,1,0,0,0,0,1,0,4,1,2,4,5,10,5,2,1,0,0,1,3,1,399,0,4,403,
154,66,217,1,4,0,2,0,0,1,0,0,3,0,1,1,2,7,8,2,0,0,0,0,0,1,316,0,5,321,
155,86,137,5,0,0,1,0,0,0,0,0,1,0,0,2,1,1,2,1,0,0,0,0,1,0,238,0,0,238,
156,575,257,4,3,2,0,2,0,0,1,2,4,3,3,3,16,12,11,3,1,1,1,0,0,3,907,0,7,914,1
157,124,346,5,2,0,0,0,1,0,2,1,1,1,0,1,4,2,1,1,0,0,0,0,0,0,492,0,3,495,
158,255,396,1,0,3,1,1,0,0,0,0,0,0,1,3,7,7,4,1,1,1,0,0,0,1,683,0,13,696,
159,123,491,2,1,1,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,1,0,0,1,0,627,0,3,630,
160,233,259,7,2,1,2,0,1,2,1,1,1,1,3,2,3,4,1,1,0,0,0,0,2,1,528,0,4,532,
161,270,228,3,1,6,3,0,0,1,0,0,1,0,0,2,7,4,2,1,0,1,1,0,0,1,532,0,5,537,
162,136,197,2,2,4,0,0,1,1,1,3,2,1,0,2,1,2,3,1,0,1,0,0,0,1,361,0,2,363,
163,255,257,3,3,1,2,0,0,0,0,2,2,0,2,1,1,13,4,1,0,1,1,0,2,0,551,0,1,552,
164,430,155,11,2,3,0,3,1,0,0,2,1,0,1,3,10,18,5,1,0,1,0,0,0,3,650,0,5,655,
