Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,,,,,,
183,442,252,1,3,1,0,2,2,0,1,2,2,4,4,2,16,14,9,2,758,0,758,0,0
184,103,272,1,0,0,0,0,1,0,0,1,1,2,2,8,10,3,3,0,405,0,405,0,0
185,306,472,2,0,0,0,0,2,0,1,0,2,2,1,7,12,7,7,6,825,0,825,0,0
186,286,300,2,2,1,0,0,0,0,0,0,0,0,1,6,12,21,7,6,645,0,645,0,0
187,87,396,9,0,0,0,0,1,0,0,1,0,1,0,14,19,7,6,3,543,0,543,0,0
188,175,353,3,1,0,0,1,0,0,1,0,1,1,1,8,8,3,4,5,564,0,564,0,0
189,125,431,9,3,0,1,0,0,0,1,0,2,2,2,9,10,4,10,6,613,0,613,0,0
190,180,311,8,2,0,3,1,0,1,2,1,3,4,1,7,10,8,5,6,551,0,551,0,0
191,186,70,5,1,3,0,0,0,1,0,0,0,0,2,6,3,3,3,4,288,0,288,0,0
192,382,351,4,2,2,0,0,1,3,2,2,3,5,2,8,19,18,14,17,835,0,835,0,0
193,272,225,5,2,2,1,0,6,0,0,2,1,3,2,4,11,1,4,4,543,0,543,0,0
194,293,60,0,0,0,1,0,2,1,0,2,1,3,3,4,11,3,1,2,386,0,386,0,0
195,543,210,3,6,0,1,0,1,0,0,0,1,1,5,5,16,6,2,2,801,0,801,0,0
196,325,220,8,3,3,0,1,20,0,0,0,1,1,2,3,11,10,9,6,623,0,623,0,0
197,172,410,5,1,0,0,1,1,0,1,0,0,0,5,13,23,6,12,4,654,0,654,0,0
198,20,249,5,0,0,0,0,0,0,0,0,0,0,1,4,2,7,15,1,304,0,304,0,0
199,289,284,5,2,1,1,1,2,4,2,2,0,2,2,14,21,16,17,5,674,0,674,0,0
200,486,191,1,2,0,0,0,3,0,2,1,2,3,3,2,8,24,11,7,743,0,743,0,0
201,262,520,11,1,1,0,0,4,1,1,0,1,1,8,15,31,8,8,10,884,0,884,0,0
202,420,320,5,0,1,0,1,15,3,2,0,1,1,2,15,28,4,2,3,824,0,824,0,0
203,376,412,2,2,0,0,1,1,0,2,3,1,4,0,7,12,6,0,1,828,0,828,0,0
204,350,228,6,3,0,0,0,2,0,0,0,0,0,1,9,17,11,12,5,645,0,645,0,0
