Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA option,Total Votes,Total No. of Tendered Votes
,KACHHADIYA NARANBHAI BHIKHABHAI,THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI,DAFADA RAMJIBHAI NANJIBHAI,CHAVADA MANUBHAI PARSHOTTMBHAI,RATHOD JIVANBHAI R.,SANGANI VIJAYBHAI DINESHBHAI,SUKHADIYA NATHALAL VALLABHBHAI,USMANBHAI P. MAGHARA,JADAV MUSTAKBHAI,DHIMECHA NARESHBHAI NANJIBHAI,NATHABHAI DAYABHAI TOTA,MEHULBHAI HIMATBHAI SUKHADIA,RAMANI SURESHBHAI DHIRUBHAI,VALODARA VRAJLAL JIVABHAI,,,,,
38,194,124,4,3,1,0,2,0,0,0,2,0,3,3,336,0,9,345,0
39,252,179,6,32,1,0,4,1,2,2,2,7,11,12,511,0,38,549,0
40,327,370,7,9,3,0,12,3,3,0,1,4,7,5,751,0,18,769,0
41,401,282,3,32,2,2,12,1,1,2,1,3,6,6,754,0,11,765,0
42,337,89,2,7,1,2,11,0,1,0,1,0,1,2,454,0,12,466,0
43,340,56,0,1,0,1,11,0,0,2,0,1,1,1,414,0,14,428,0
44,260,62,1,1,0,0,5,0,0,0,1,0,0,0,330,0,5,335,0
45,342,375,9,9,3,1,11,3,2,1,4,3,14,11,788,0,26,814,0
46,326,321,1,2,1,0,0,1,1,1,0,0,4,2,660,0,11,671,0
47,306,138,3,2,0,2,20,0,0,0,2,3,3,1,480,0,9,489,0
48,550,88,1,0,3,0,1,0,1,0,1,0,2,0,647,0,14,661,0
49,230,547,9,3,1,3,18,2,1,3,2,0,8,10,837,0,17,854,0
50,361,212,2,1,0,1,8,3,1,1,0,1,5,3,599,0,11,610,0
51,278,169,2,0,0,0,5,2,1,1,0,0,6,3,467,0,4,471,0
52,540,132,3,0,0,2,4,1,0,2,0,1,1,4,690,0,15,705,0
53,280,85,0,1,1,1,0,0,1,1,3,1,4,1,379,0,8,387,0
54,326,345,6,4,0,1,3,1,0,0,0,1,2,8,697,0,16,713,0
55,194,100,3,0,0,1,3,0,0,0,1,2,3,1,308,0,6,314,0
56,184,157,13,0,1,0,2,0,0,0,0,0,5,2,364,0,9,373,0
57,445,165,33,2,0,2,5,0,0,1,0,0,1,5,659,0,26,685,0
58,333,190,6,3,1,0,6,0,1,0,1,0,4,5,550,0,5,555,0
59,133,252,5,2,1,0,5,0,1,1,0,1,4,10,415,0,7,422,0
60,341,224,7,4,1,3,6,1,0,4,0,2,7,8,608,0,8,616,0
61,365,248,3,3,0,0,4,1,0,2,1,2,6,9,644,0,23,667,0
62,389,138,1,0,0,0,4,1,1,3,2,3,8,8,558,0,10,568,0
63,79,83,3,1,1,2,1,1,0,2,0,2,2,7,184,0,10,194,0
64,141,296,4,0,2,3,4,5,1,0,1,2,9,17,485,0,7,492,0
65,330,244,5,1,0,3,7,2,2,3,1,1,9,12,620,0,19,639,0
66,109,26,2,1,0,1,1,1,0,2,0,1,2,0,146,0,8,154,0
67,116,34,2,1,1,0,1,1,1,1,0,0,3,2,163,0,11,174,0
68,271,277,5,1,3,1,6,0,0,0,0,0,4,3,571,0,18,589,0
69,74,208,3,2,0,0,4,1,0,0,0,1,1,5,299,0,5,304,0
70,130,290,20,2,2,0,5,4,0,3,1,6,13,16,492,0,23,515,0
71,173,126,6,0,1,0,9,1,0,0,0,0,2,0,318,0,8,326,0
72,26,38,0,0,0,0,0,0,0,0,1,0,0,0,65,0,1,66,0
73,109,431,6,1,0,0,2,0,1,1,0,2,4,3,560,0,9,569,0
74,252,266,6,0,1,1,2,2,0,0,1,1,4,8,544,0,7,551,0
75,214,4,1,0,0,0,2,0,0,0,0,0,0,0,221,0,8,229,0
76,162,119,2,2,2,0,3,1,1,1,0,1,5,3,302,0,3,305,0
77,16,81,1,0,0,0,0,0,0,0,0,1,0,0,99,0,2,101,0
78,89,49,2,0,1,0,1,0,0,0,0,0,1,2,145,0,0,145,0
79,282,56,1,0,0,0,5,0,0,1,0,1,0,2,348,0,11,359,0
80,71,132,6,0,1,0,18,1,0,1,0,1,7,0,238,0,6,244,0
81,38,125,5,1,1,2,5,1,0,0,0,2,2,5,187,0,11,198,0
82,91,87,2,1,0,0,3,0,0,2,1,1,2,1,191,0,4,195,0
83,277,112,0,1,1,3,9,0,0,1,1,2,4,2,413,0,9,422,0
84,191,232,4,1,0,2,4,0,1,1,1,1,3,8,449,0,5,454,0
85,106,34,1,0,1,0,7,0,0,0,4,0,3,1,157,0,3,160,0
86,119,70,1,0,0,1,1,0,0,1,1,4,1,1,200,0,7,207,0
87,139,285,11,4,0,1,4,0,0,0,1,4,3,3,455,0,6,461,0
88,18,367,1,0,0,1,0,0,0,0,0,1,0,1,389,0,1,390,0
89,187,161,1,1,0,2,1,0,0,0,0,2,0,2,357,0,4,361,0
90,74,134,2,3,1,0,1,1,1,2,1,4,4,6,234,0,17,251,0
91,51,33,0,0,1,1,2,1,0,0,0,0,1,0,90,0,3,93,0
92,51,62,3,4,0,0,2,2,2,1,2,2,3,0,134,0,2,136,0
93,187,104,2,0,0,0,26,0,0,1,0,1,1,3,325,0,5,330,0
94,152,289,6,2,1,1,3,0,0,1,0,0,3,4,462,0,8,470,0
