Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,,valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,"""None of the Above"" (NOTA)",,,,,
144,428,33,0,0,0,0,0,9,0,1,0,0,0,0,0,1,0,0,6,478,0,478,0,0
145,705,29,0,1,0,0,0,20,1,1,0,0,0,1,0,2,9,0,13,784,0,784,0,0
146,658,67,0,0,0,0,0,23,0,0,0,0,0,0,0,1,2,0,19,770,0,770,0,0
147,590,54,1,0,0,0,0,19,0,0,0,0,0,0,0,2,1,1,16,684,0,684,0,0
148,431,27,1,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,7,475,0,475,0,0
149,513,33,0,0,0,1,0,13,0,0,0,0,0,1,1,2,3,0,13,580,0,580,0,0
150,431,78,4,0,0,0,0,8,0,0,0,0,0,0,0,1,1,0,11,534,0,534,0,0
151,402,20,0,0,0,0,0,5,1,0,0,0,0,0,0,1,1,0,7,437,0,437,0,0
152,281,466,16,0,0,0,0,20,0,0,1,1,2,2,0,22,5,0,3,818,0,818,0,0
153,211,425,17,3,0,0,0,5,0,0,3,0,3,2,4,6,4,6,8,695,0,695,0,0
154,372,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,402,0,402,0,0
155,423,21,0,0,1,0,0,6,0,0,0,1,1,0,1,1,1,0,3,459,0,459,0,0
156,338,107,1,1,1,0,0,5,0,0,0,0,0,1,0,1,0,0,3,458,0,458,0,0
157,433,238,18,2,0,0,0,13,0,0,0,2,2,0,0,3,3,1,2,716,0,716,0,0
158,674,63,3,0,0,2,0,4,0,0,1,0,1,0,0,5,12,1,17,782,0,782,0,0
159,539,145,22,1,0,1,0,7,0,0,0,0,0,0,1,0,5,0,9,730,0,730,0,0
160,674,58,1,1,0,1,0,9,1,0,0,0,0,0,1,5,4,2,1,758,0,758,0,0
161,262,278,4,0,1,0,0,10,0,0,0,1,1,0,4,3,5,3,4,576,0,576,0,0
162,343,254,10,7,3,4,4,12,5,3,3,2,5,5,4,18,4,6,2,694,0,694,0,0
163,444,291,5,1,2,0,0,12,0,0,0,0,0,0,1,3,4,9,14,787,0,787,0,0
164,156,234,7,0,0,1,0,11,0,0,0,0,0,2,3,1,1,1,2,419,0,419,0,0
165,242,173,12,0,0,0,0,16,0,0,0,0,0,0,1,4,1,0,8,457,0,457,0,0
166,327,310,18,0,2,1,1,20,1,2,2,1,3,2,4,7,4,2,12,716,0,716,0,0
167,807,46,0,0,0,0,2,24,1,0,0,2,2,0,0,1,2,0,18,903,0,903,0,0
168,649,77,2,0,0,0,0,15,0,0,0,0,0,0,1,3,2,0,14,763,0,763,0,0
169,548,235,13,1,0,0,1,20,0,0,1,2,3,1,0,5,4,1,10,842,0,842,0,0
170,562,25,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,611,0,611,0,0
171,397,30,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,15,449,0,449,0,0
172,570,32,0,0,0,0,0,10,0,0,0,0,0,0,0,3,4,0,12,632,0,632,0,0
173,813,62,0,0,0,0,1,22,0,1,0,0,0,0,0,1,2,0,12,915,0,915,0,0
174,403,28,0,0,0,0,0,9,1,0,0,0,0,0,0,1,2,0,6,450,0,450,0,0
175,622,46,0,1,0,0,0,26,0,0,0,1,1,0,0,0,0,0,9,705,0,705,0,0
176,616,49,0,0,0,0,1,11,0,0,0,0,0,0,0,2,1,0,9,689,0,689,0,0
177,228,21,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,259,0,259,0,0
178,396,93,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,8,514,0,514,0,0
179,611,209,12,1,0,0,0,21,0,1,0,0,0,0,2,7,4,1,13,882,0,882,0,0
180,343,69,2,0,0,0,0,3,1,0,0,1,1,1,0,4,0,1,3,429,0,429,0,0
181,173,135,3,0,1,0,0,3,0,1,0,0,0,0,0,5,1,2,2,326,0,326,0,0
182,196,390,23,2,2,0,0,8,3,1,0,0,0,0,0,11,3,8,4,652,0,652,0,0
183,50,120,1,0,2,1,0,3,1,2,2,0,2,0,3,8,0,1,1,195,0,195,0,0
184,143,438,5,2,0,0,0,4,0,1,0,1,1,0,3,13,3,1,4,618,0,618,0,0
185,39,85,5,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,2,137,0,137,0,0
186,309,254,17,3,1,1,1,14,1,1,1,3,4,4,3,8,4,1,8,637,0,637,0,0
187,96,117,7,0,0,1,0,14,0,0,0,1,1,1,2,2,1,2,1,245,0,245,0,0
188,101,145,3,1,0,0,0,7,0,0,0,0,0,0,0,1,26,9,4,297,0,297,0,0
189,137,63,7,0,0,0,0,4,0,1,0,0,0,1,0,3,3,1,1,221,0,221,0,0
190,499,117,1,0,0,0,1,18,0,0,0,1,1,2,3,2,9,2,14,669,0,669,0,0
191,265,267,3,5,2,0,0,8,3,0,0,1,1,2,3,2,1,3,17,583,0,583,0,0
192,173,406,9,4,1,1,0,13,0,0,0,1,1,1,1,5,4,5,11,636,0,636,0,0
193,454,164,4,0,1,0,0,12,0,1,0,0,0,0,0,0,4,2,11,653,0,653,0,0
194,433,38,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,9,483,0,483,0,0
195,328,149,0,0,0,2,2,14,1,1,0,0,0,0,2,2,6,2,11,520,0,520,0,0
196,307,218,3,6,0,2,0,11,1,0,0,0,0,0,4,4,5,1,5,568,0,568,0,0
197,355,195,3,1,0,1,0,2,0,0,2,0,2,1,0,4,2,3,4,573,0,573,0,0
198,722,75,0,0,1,0,0,18,0,0,0,0,0,0,1,2,1,0,10,830,0,830,0,0
199,655,125,1,0,0,2,0,19,1,0,0,0,0,2,0,5,3,1,8,822,0,822,0,0
200,621,81,0,0,1,0,2,10,0,0,0,0,0,1,1,2,2,2,6,729,0,729,0,0
201,209,381,11,2,0,0,0,26,0,0,0,0,0,0,2,3,13,18,11,679,0,679,0,0
202,149,236,5,2,0,0,0,9,0,0,1,0,1,1,0,0,1,1,10,415,0,415,0,0
203,162,329,0,0,1,0,0,8,0,1,1,1,2,2,3,7,2,0,0,517,0,517,0,0
204,252,328,15,1,1,0,0,11,2,1,1,0,1,0,6,9,3,1,3,635,0,635,0,0
205,171,389,2,0,2,1,0,7,0,0,0,0,0,1,3,4,3,5,1,590,0,590,0,0
