No & name of polling station,No. of Valid Votes Cast in Favours of,,,,,,,,,,,,,,,,Total of Valid Votes,No.of Reject ed Votes,Total,No.of tender ed Votes
,CHAUHAN 1 DEVUSINH JESINGBHAI,DINSHA PATEL,PANDAV BHAILALBHAI KALUBHAI,ABDUL RAZAKKHAN PATHAN,BADHIWALA LABHUBHAI JIVRAJBHAI,RANVEER PRANAYRAJ GOVINDBHAI,ADWARD KHUSHALBHA I,CHAUHAN DEVUSING MOTISHING,PATHAN AMANULLAKHA SITABKHA,PARIKH VIRAL HASMUKHBHAI,MALEK YAKUBMIYA NABIMIYA,MALEK SADIK HUSHEN MAH. HUSHEN,MALEK SABIRHUSEN ISMAELBHAI,RATANSINH UDESINH CHAUHAN,ROSHAN PRIYAVADAN SHAH,NONE OF THE ABOVE(NOTA),,,,
37,382,45,0,0,0,0,0,0,0,0,0,0,0,0,3,14,444,0,444,0
38,201,331,6,1,0,0,0,2,1,0,0,0,1,1,1,3,548,0,548,0
39,461,32,2,0,0,0,0,1,1,0,1,0,0,0,4,14,516,0,516,0
40,304,174,0,1,1,0,0,0,0,0,0,1,3,0,8,9,501,0,501,0
41,171,203,3,2,2,0,0,1,0,4,0,1,3,1,4,9,404,0,404,0
42,484,253,2,2,2,0,1,0,1,1,0,0,4,0,12,13,775,0,775,0
43,205,361,103,1,2,0,1,0,0,0,0,1,1,0,6,5,686,0,686,0
44,443,210,2,1,2,1,0,1,0,0,1,0,1,2,4,9,677,0,677,0
45,139,62,0,0,0,1,1,0,0,0,0,0,1,0,9,3,216,0,216,0
46,325,199,1,0,2,1,0,0,0,0,0,0,0,3,2,10,543,0,543,0
47,332,217,17,2,0,0,0,0,2,0,2,2,3,6,10,33,626,0,626,0
48,145,227,3,3,0,0,0,0,0,0,0,0,3,4,9,19,413,0,413,0
49,246,77,2,1,0,0,0,0,0,0,0,0,1,1,11,15,354,0,354,0
50,244,372,3,1,5,0,0,0,0,0,0,2,1,2,5,10,645,0,645,0
51,322,195,2,1,3,2,2,0,0,1,1,0,1,2,9,18,559,0,559,0
52,406,89,5,0,0,0,0,1,1,0,0,1,2,3,6,27,541,0,541,0
53,282,239,8,1,2,2,2,3,2,1,0,3,4,1,6,11,567,0,567,0
54,417,180,4,0,2,2,0,4,0,1,2,2,5,5,3,14,641,0,641,0
55,517,103,1,0,1,0,1,0,0,1,0,1,4,1,3,16,649,0,649,0
56,407,193,3,0,3,2,0,0,0,0,1,3,1,4,6,10,633,0,633,0
57,234,83,1,0,0,0,1,1,1,0,0,0,3,1,3,11,339,0,339,0
58,219,14,1,0,0,0,0,0,0,0,0,0,0,0,1,2,237,0,237,0
59,14,840,4,0,2,0,1,1,1,0,2,0,0,2,11,5,883,0,883,0
60,466,309,2,0,2,0,0,1,1,0,0,0,0,7,5,15,808,0,808,0
61,320,49,0,0,1,0,0,1,0,0,0,1,0,1,4,17,394,0,394,0
62,39,846,3,0,3,1,0,0,0,2,1,2,1,3,5,6,912,0,912,0
63,379,170,1,0,0,0,0,0,0,0,0,1,1,2,2,8,564,0,564,0
64,380,149,1,0,0,0,0,1,0,1,0,1,5,6,3,14,561,0,561,0
65,608,58,4,0,1,1,1,2,1,0,3,0,5,4,13,27,728,0,728,0
66,469,106,2,1,2,0,1,1,1,0,2,2,3,2,8,20,620,0,620,0
67,350,227,3,0,2,0,0,0,1,0,0,0,4,3,7,8,605,0,605,0
68,288,443,3,1,0,0,0,0,2,0,1,2,3,3,5,17,768,0,768,0
69,732,81,5,0,3,1,1,3,0,0,3,1,5,2,5,17,859,0,859,0
70,145,670,6,2,1,1,1,1,0,0,0,2,2,3,11,7,852,0,852,0
71,139,680,1,1,0,0,0,0,0,0,0,0,2,5,14,1,843,0,843,0
72,180,199,2,1,1,0,0,0,0,2,1,0,0,1,2,4,393,0,393,0
73,216,467,8,2,1,0,0,0,0,0,2,0,2,1,16,11,726,0,726,0
74,309,245,1,0,2,2,0,1,0,0,1,0,0,2,4,9,576,0,576,0
75,532,147,6,1,2,2,0,1,0,1,0,0,4,4,3,9,712,0,712,0
76,498,65,1,1,0,0,0,0,0,1,0,0,2,3,2,20,593,0,593,0
77,310,467,3,1,0,1,0,1,0,2,0,0,7,1,10,8,811,0,811,0
78,137,599,4,2,1,2,1,0,1,3,0,2,1,6,13,6,778,0,778,0
79,404,171,0,0,1,0,1,2,0,0,0,0,2,1,4,15,601,0,601,0
80,281,197,3,0,0,1,0,0,1,1,1,1,2,1,9,4,502,0,502,0
