polling station,,,,,,,,,,,,,,,,,,,,valid votes,rejected votes,nota,total,tendered votes
,Chuhan Kesavbhai Malabhai (Master),C.R.Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakuma r Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
150,0,760,45,0,0,0,9,0,0,1,0,0,0,0,0,0,1,0,1,817,0,9,826,0
151,1,705,28,0,0,1,5,0,1,0,0,0,0,0,0,1,1,2,0,745,0,4,749,0
152,4,788,61,1,0,0,12,0,0,0,0,0,0,0,0,1,1,2,0,870,0,12,882,0
153,0,617,126,1,0,1,12,1,0,1,0,0,0,1,1,0,2,1,1,765,0,9,774,0
154,1,968,29,0,0,23,0,0,0,0,0,0,0,0,0,0,1,1,1,1024,0,23,1047,0
155,1,659,35,2,0,2,13,0,0,0,0,0,0,1,3,1,2,0,0,719,0,9,728,0
156,14,549,268,3,0,0,14,1,0,1,0,0,0,1,3,9,0,1,1,865,0,8,873,0
157,12,620,159,3,0,0,7,0,1,1,1,1,0,1,2,4,1,2,2,817,0,5,822,0
158,3,602,99,1,1,0,6,0,0,0,3,0,5,0,1,0,4,3,2,730,0,2,732,0
159,1,457,64,0,0,0,9,0,0,0,0,2,0,0,0,1,0,0,0,534,0,4,538,0
160,11,348,175,3,1,0,8,0,1,4,1,1,1,1,0,2,1,1,3,562,0,5,567,0
161,6,473,147,2,0,3,4,1,1,1,3,5,5,4,3,11,7,6,1,683,0,3,686,0
162,3,948,54,0,0,0,26,1,0,1,1,0,0,0,1,1,0,0,0,1036,0,17,1053,0
163,2,851,20,3,0,0,14,0,0,0,0,0,0,0,1,2,0,1,0,894,0,10,904,0
164,1,1053,35,0,0,0,21,0,0,0,0,0,1,0,0,2,0,0,1,1114,0,28,1142,0
165,2,820,36,0,0,0,15,0,0,0,0,1,0,0,0,1,0,0,0,875,0,3,878,0
166,0,665,135,1,0,0,19,0,0,0,0,0,0,0,0,2,1,0,0,823,0,16,839,0
167,1,809,74,1,0,0,15,0,0,0,0,0,0,1,0,2,1,0,0,904,0,5,909,0
168,49,278,165,1,1,0,5,2,0,0,1,0,2,3,1,5,0,0,3,516,0,0,516,0
169,0,585,41,1,0,0,17,0,1,0,0,0,0,0,2,0,0,0,0,647,0,15,662,0
170,0,727,26,0,0,0,6,1,0,0,0,0,0,0,0,1,1,0,0,762,0,11,773,0
171,2,807,43,0,1,0,13,0,1,1,0,0,0,0,0,2,0,1,0,871,0,15,886,0
172,4,283,224,4,0,1,6,0,0,0,0,1,2,2,1,3,2,1,5,539,0,4,543,0
173,37,516,199,3,0,0,16,1,0,2,0,3,1,0,2,3,1,5,0,789,0,1,790,0
174,34,289,375,6,2,0,16,32,0,1,1,1,1,1,0,10,8,3,3,783,0,7,790,0
175,2,958,45,1,1,0,17,0,0,0,0,0,0,0,0,2,2,0,0,1028,0,12,1040,0
176,3,698,31,1,0,0,4,0,0,1,0,0,0,1,0,2,0,0,1,742,0,10,752,0
177,4,641,166,2,1,1,18,2,1,3,0,1,1,2,1,6,2,2,0,854,0,6,860,0
178,1,351,109,2,0,0,4,4,0,0,0,0,0,0,0,1,0,1,0,473,0,6,479,0
178,1,277,173,2,1,0,4,1,0,2,0,0,0,1,2,5,0,1,2,472,0,3,475,0
179,5,649,94,5,2,0,19,0,0,1,0,0,0,1,0,4,0,3,1,784,0,5,789,0
180,0,648,100,0,1,0,9,0,1,0,0,0,0,0,0,2,0,1,2,764,0,8,772,0
181,1,582,18,1,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,613,0,7,620,0
181,2,568,18,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,602,0,12,614,0
182,16,78,376,7,0,3,6,1,1,1,0,0,2,2,0,10,3,1,1,508,0,3,511,0
183,20,154,299,3,1,2,14,2,2,0,1,2,2,2,3,8,2,3,2,522,0,0,522,0
184,1,272,32,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,308,0,1,309,0
185,0,180,36,1,0,0,7,0,0,0,0,1,1,1,1,2,0,2,0,232,0,3,235,0
186,7,446,107,0,0,0,12,0,1,0,0,1,2,1,1,7,1,0,2,588,0,13,601,0
187,5,207,68,2,0,0,1,0,0,0,0,1,3,0,0,0,1,1,0,289,0,3,292,0
188,1,470,140,2,1,0,5,0,2,0,0,0,0,0,3,4,0,1,2,631,0,3,634,0
189,6,543,35,1,2,0,4,0,0,2,0,0,0,1,2,5,3,3,0,607,0,4,611,0
190,7,279,83,3,3,0,6,0,0,0,0,6,2,2,1,5,4,6,3,410,0,7,417,0
191,2,713,77,2,0,0,10,0,1,0,0,0,2,0,1,5,5,0,0,818,0,8,826,0
192,0,428,77,1,0,0,12,1,0,0,0,1,0,0,0,1,1,1,2,525,0,4,529,0
193,5,262,44,1,2,0,2,1,0,0,0,3,1,0,2,3,0,1,0,327,0,0,327,0
194,6,292,40,0,0,1,9,0,0,0,0,0,0,0,0,3,0,1,0,352,0,0,352,0
195,3,289,66,2,1,0,4,0,0,1,1,1,1,1,0,1,0,0,1,372,0,0,372,0
196,3,359,62,0,1,1,16,2,0,4,0,2,0,2,1,4,0,2,0,459,0,2,461,0
197,3,240,131,4,1,0,2,0,1,0,0,2,1,1,0,3,0,0,2,391,0,0,391,0
198,7,330,89,0,0,2,30,0,1,0,2,0,1,1,2,6,2,0,1,474,0,4,478,0
199,4,457,70,2,0,1,18,0,0,1,0,3,1,0,1,1,0,3,0,562,0,0,562,0
200,7,654,51,1,1,1,10,0,2,0,0,0,0,0,2,3,1,4,2,739,0,1,740,0
201,2,308,75,1,0,0,29,0,0,0,1,0,0,2,0,1,1,1,0,421,0,0,421,0
202,3,581,100,1,0,0,44,3,0,0,2,1,3,1,1,3,1,3,1,748,0,1,749,0
203,20,572,134,11,0,1,54,1,1,0,1,0,1,0,1,3,0,2,2,804,0,0,804,0
204,11,253,78,2,0,0,15,0,0,1,0,0,0,0,1,3,0,0,0,364,0,0,364,0
204,10,285,66,0,0,2,7,0,0,0,1,1,0,0,1,4,0,1,1,379,0,0,379,0
205,4,447,53,3,0,0,7,1,0,0,0,0,0,2,0,3,0,5,1,526,0,5,531,0
206,13,584,56,1,0,0,3,0,0,0,0,2,1,1,2,3,1,0,1,668,0,2,670,0
207,4,616,59,0,0,0,12,0,0,0,1,0,0,1,1,4,2,4,1,705,0,4,709,0
208,9,427,77,1,1,0,2,0,0,0,0,2,0,0,0,1,0,1,2,523,0,0,523,0
209,9,444,50,1,0,1,16,0,0,1,0,0,1,1,0,3,1,1,1,530,0,1,531,0
210,2,250,48,1,0,0,17,0,2,0,0,2,0,2,1,10,1,1,0,337,0,0,337,0
211,1,163,65,5,1,0,6,1,0,0,0,1,0,0,0,2,0,1,0,246,0,1,247,0
212,8,318,29,0,0,0,1,0,0,1,0,3,1,0,0,2,1,0,0,364,0,3,367,0
213,22,438,118,3,1,1,23,2,0,1,3,2,1,0,1,1,2,0,1,620,0,2,622,0
214,3,356,68,2,1,0,7,3,0,2,0,1,0,0,0,3,2,0,0,448,0,1,449,0
215,8,299,79,1,0,0,20,0,0,2,0,4,1,1,2,18,0,1,1,437,0,0,437,0
216,3,330,79,0,0,1,13,3,1,1,0,2,1,0,2,4,1,0,0,441,0,3,444,0
217,13,260,91,2,0,0,14,1,1,2,0,1,2,2,1,5,0,1,1,397,0,0,397,0
218,4,234,94,2,0,0,16,0,1,2,1,2,1,0,1,0,0,0,1,359,0,1,360,0
219,2,259,80,3,0,0,12,0,0,0,0,0,0,0,1,2,0,1,1,361,0,0,361,0
220,4,282,84,0,2,1,26,0,0,1,0,1,0,0,2,4,0,0,0,407,0,2,409,0
221,7,341,92,2,0,0,33,0,1,3,0,0,0,3,0,4,0,4,1,491,0,3,494,0
222,11,416,181,2,1,1,20,1,2,0,1,1,0,1,1,8,2,2,6,657,0,5,662,0
223,8,250,74,1,2,0,33,0,0,0,0,1,0,1,1,19,0,2,0,392,0,2,394,0
224,1,293,32,2,0,0,8,0,1,0,2,1,0,0,0,14,0,0,1,355,0,2,357,0
225,6,235,62,1,1,0,11,0,0,0,1,0,0,2,0,15,1,0,2,337,0,2,339,0
226,14,304,100,2,0,0,21,0,0,0,1,1,0,0,1,1,0,2,1,448,0,2,450,0
227,4,311,71,0,1,0,12,0,0,0,0,1,2,0,0,19,0,4,2,427,0,0,427,0
