,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,,,,,
Serial No. Of Polling Station,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,Total of Valid Votes,No. of Rejected Votes,Votes for 'NOTA' Option,Total,No. of Tendered votes
176,4,649,68,1,1,2,1,0,1,0,1,1,1,0,0,1,4,5,3,743,0,3,746,0
177,3,405,35,1,0,0,4,2,0,0,0,0,0,0,1,2,2,2,2,459,0,4,463,0
178,4,139,170,1,0,2,2,0,2,1,0,0,0,2,2,2,2,3,4,336,0,3,339,0
179,2,157,145,2,0,0,4,0,1,0,0,0,0,1,1,0,1,1,0,315,0,2,317,0
180,7,298,224,1,0,0,7,1,0,0,0,3,0,0,5,4,0,4,1,555,0,3,558,0
,1067,75160,26180,412,107,98,1261,106,100,79,124,275,227,437,596,835,386,808,477,108735,0,1078,109813,0
,1067,75160,26180,412,107,98,1261,106,100,79,124,275,227,437,596,835,386,808,477,108735,0,1078,109813,0
181,4,479,44,1,0,0,1,0,1,0,2,0,0,2,6,2,0,4,1,547,0,2,549,0
182,2,239,38,0,1,0,5,0,0,0,1,1,0,0,2,3,1,0,0,293,0,0,293,0
183,5,618,148,3,0,1,9,1,0,2,0,2,2,0,0,3,3,3,2,802,0,4,806,0
184,10,668,145,3,0,0,3,1,1,0,1,0,0,2,4,2,2,8,3,853,0,7,860,0
185,1,519,45,0,1,0,4,0,0,1,0,2,0,1,2,2,2,7,0,587,0,3,590,0
186,4,377,94,1,1,0,3,0,1,2,0,1,1,2,2,3,4,10,4,510,0,6,516,0
187,3,394,78,2,1,2,3,0,0,1,0,0,4,2,4,7,3,8,1,513,0,6,519,0
188,3,556,81,1,1,0,2,0,0,0,0,1,1,0,0,2,1,2,0,651,0,0,651,0
189,5,636,134,6,2,0,2,0,1,0,0,0,0,1,2,4,1,5,2,801,0,5,806,0
190,3,369,184,2,0,0,8,1,1,0,0,0,1,6,1,7,3,8,4,598,0,11,609,0
191,8,366,314,0,3,0,8,2,1,1,4,0,2,7,7,12,7,19,6,767,0,11,778,0
192,2,366,255,4,0,0,15,0,0,1,1,3,4,2,8,20,2,4,4,691,0,12,703,0
,1117,80747,27740,435,117,101,1324,111,106,87,133,285,242,462,634,902,415,886,504,116348,0,1145,117493,0
,1117,80747,27740,435,117,101,1324,111,106,87,133,285,242,462,634,902,415,886,504,116348,0,1145,117493,0
193,3,302,115,4,1,1,1,3,1,2,2,6,2,1,9,10,3,5,6,477,0,7,484,0
194,9,422,155,2,0,1,0,0,3,0,0,4,4,6,10,7,5,11,3,642,0,2,644,0
195,4,308,110,3,1,0,0,0,2,1,0,1,1,4,9,5,1,5,2,457,0,1,458,0
196,5,260,63,1,1,0,2,1,0,1,1,3,2,8,19,9,1,2,1,380,0,2,382,0
197,4,320,68,1,0,1,1,1,2,0,1,1,1,0,7,2,2,4,1,417,0,0,417,0
198,3,237,193,1,0,0,0,0,0,2,0,3,0,3,5,6,1,3,2,459,0,3,462,0
199,12,234,163,4,2,0,2,0,2,0,4,1,2,7,2,6,0,4,1,446,0,1,447,0
