polling station,No. of Valid Votes cast in favor of,,,,,,,,,,,,,,,Total of valied votes  tendered,No. of rejected votes (Test  votes),Votes for NOTA option,Total votes
,Chauhan Devusinh Jesingbhai (Chauhan Devusinh),Dinsha Patel,Pandav Bhailalbhai Kalubhai,Abdul Razakkhan Pathan,Badhiwala Labhubhai Jivrajbhai,Ranveer Pranayraj Govindbhai,Khristi Adward Khushalbhai,Chauhan Devusing Motishing,Pathan Amanullakha Sitabkha,Parikh Viral Hasmukhbhai,Malek Yakubmiya Nabhimiya,Malek Sadik Hushen Mahammd Hushen,Malek Sabirhusen Ismaelbhai,Ratansinh Udesinh Chauhan,Roshan Priyavadan  Shah,,,,
174,127,127,1,0,0,0,0,1,1,0,1,1,0,2,1,262,0,3,265
175,25,170,4,0,0,2,0,0,0,0,0,1,2,0,5,209,0,2,211
176,259,220,2,3,1,0,1,0,0,1,1,0,1,4,6,499,0,9,508
177,596,75,4,0,0,0,0,0,0,0,0,0,2,0,1,678,0,12,690
178,434,221,3,1,1,0,0,0,0,0,2,0,1,4,5,672,0,19,691
179,165,129,2,0,0,0,0,0,0,0,1,0,1,2,6,306,0,9,315
180,193,208,2,1,0,0,1,1,0,0,3,2,4,4,9,428,0,23,451
181,37,245,5,1,0,1,1,1,0,1,0,0,1,0,4,297,0,5,302
182,123,107,2,0,1,0,0,0,0,0,1,1,0,0,1,236,0,7,243
183,269,146,3,0,1,0,1,0,0,1,1,3,2,2,5,434,0,9,443
184,99,176,1,1,1,0,0,2,0,0,1,0,2,2,1,286,0,7,293
185,121,177,1,1,1,0,1,1,0,0,0,0,0,0,2,305,0,5,310
186,329,140,4,0,2,0,2,0,0,0,0,1,1,2,3,484,0,3,487
187,205,238,2,0,0,0,4,3,0,0,2,2,0,5,6,467,0,9,476
188,208,208,6,1,2,0,13,1,0,0,0,1,1,3,4,448,0,11,459
189,202,96,1,0,2,0,0,0,0,0,2,0,2,1,4,310,0,6,316
190,229,147,3,0,0,0,0,0,0,1,0,2,1,4,3,390,0,13,403
191,155,149,0,1,1,0,0,3,0,0,2,0,0,0,2,313,0,7,320
