polling station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,Total of valid votes,No. of rejected votes (Test Vot,NOTA,Total,No. of tendered votes
,L K Advani,Kiritbhai Ishvarbhai  Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar  Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh  Javansinh,Dipikaben Sutariya,Desai Khodabhai  Laljibhai,Pagi Ganpatbhai  Mavjibhai,Birjusinh Motisinh  Kshatriya,Brahmbhatt  Sanjaybhai ,Amarkumar Raj Prajapati,Rahul Chimanbhai  Mehta,Vaghela Kishorsinh  Mahobatsinh,M. K. Shah,,,,,
161,609,90,6,1,3,0,0,7,2,0,0,2,0,1,3,12,2,1,739,,5,744,
162,621,53,4,0,0,0,1,12,0,0,1,0,0,0,0,4,3,0,699,,9,708,
163,707,95,2,0,0,0,0,11,0,0,0,0,1,1,0,5,3,2,827,,11,838,
164,632,121,3,0,0,1,1,8,0,0,0,2,1,2,0,3,3,1,778,,3,781,
165,807,71,0,1,0,0,0,1,0,1,1,0,0,1,0,2,4,0,889,,6,895,
166,687,40,0,2,0,0,0,7,0,1,0,0,0,1,1,6,1,0,746,,3,749,
167,847,79,1,0,1,0,0,9,1,0,0,0,0,0,2,2,3,0,945,,8,953,
168,759,48,1,0,0,0,0,7,0,0,0,0,0,0,0,2,4,1,822,,6,828,
169,557,146,2,0,0,1,0,7,1,0,0,0,1,0,3,3,2,0,723,,3,726,
170,398,52,1,1,1,0,0,1,0,0,0,1,0,2,2,4,2,1,466,,4,470,
171,492,94,2,1,3,0,0,7,1,0,0,1,2,1,1,2,5,1,613,,4,617,
172,367,62,10,1,0,0,0,3,0,0,0,1,0,0,2,2,1,0,449,,3,452,
173,737,81,1,0,0,0,1,12,0,0,0,2,2,1,0,7,0,0,844,,5,849,
174,466,100,3,0,1,1,0,6,0,0,1,0,0,0,0,3,0,0,581,,2,583,
175,607,70,1,1,0,0,0,13,0,0,0,1,1,0,0,8,5,4,711,,14,725,
176,595,39,0,0,0,0,0,17,0,0,0,0,0,1,0,2,2,0,656,,8,664,
177,508,19,0,0,0,0,0,10,0,0,0,0,0,0,1,3,0,0,541,,10,551,
178,562,64,0,0,0,0,0,16,0,0,0,1,0,0,0,0,1,0,644,,8,652,
179,446,35,1,0,0,0,0,19,0,0,0,0,0,0,1,4,2,1,509,,7,516,
180,526,49,0,0,0,0,0,14,0,0,0,1,0,1,3,4,3,0,601,,10,611,
181,747,73,1,0,1,1,0,11,0,0,0,0,0,0,1,8,2,0,845,,7,852,
182,691,67,0,0,0,0,0,31,0,0,0,0,0,0,0,1,0,0,790,,13,803,
183,379,27,0,0,0,0,0,3,1,1,1,0,0,0,0,0,1,0,413,,4,417,
184,331,41,1,0,0,0,0,6,0,0,0,0,0,1,0,1,1,3,385,,2,387,
185,630,61,0,0,0,0,0,11,0,0,0,0,0,0,1,2,0,0,705,,12,717,
186,301,432,9,0,2,0,0,3,0,0,0,1,0,2,9,1,5,3,768,,5,773,
187,606,33,1,1,0,0,0,4,0,0,0,0,0,0,1,4,0,2,652,,3,655,
188,438,170,1,0,0,0,0,3,1,0,0,1,0,0,1,0,2,1,618,,5,623,
189,282,201,3,0,2,0,0,2,1,0,0,0,1,0,3,6,6,4,511,,9,520,
190,694,63,5,1,0,0,0,12,0,2,0,0,0,1,0,4,5,3,790,,8,798,
191,374,37,1,1,0,0,1,7,0,0,0,0,0,0,0,2,1,0,424,,4,428,
192,379,155,1,0,1,0,1,4,1,0,0,1,1,2,3,4,4,3,560,,5,565,
193,461,58,3,0,0,0,1,2,0,0,0,0,0,0,0,8,1,1,535,,5,540,
194,855,98,1,0,1,1,0,8,0,0,0,1,1,0,1,7,1,2,977,,9,986,
195,542,71,0,1,0,1,0,26,0,0,1,0,0,0,0,0,0,0,642,,10,652,
196,550,44,0,0,2,0,0,7,0,0,0,0,0,0,0,1,3,0,607,,13,620,
197,231,132,3,0,0,0,0,2,0,0,0,1,0,1,5,4,3,2,384,,2,386,
198,757,77,0,1,0,0,1,10,0,0,0,0,0,0,0,6,3,0,855,,18,873,
199,724,65,0,1,0,1,0,16,0,0,2,0,2,1,0,3,2,2,819,,13,832,
200,580,59,0,0,0,0,0,9,1,0,0,0,0,1,1,8,7,2,668,,4,672,
201,613,73,0,0,0,0,0,17,0,0,0,0,0,0,0,1,5,1,710,,7,717,
202,585,67,2,0,0,1,1,5,0,2,0,0,1,3,4,7,6,0,684,,5,689,
203,616,79,9,0,0,0,0,3,0,0,1,0,0,0,0,4,4,4,720,,5,725,
204,521,27,2,1,0,0,0,7,0,0,1,0,0,1,0,5,6,3,574,,2,576,
205,576,122,2,0,0,0,0,9,0,0,0,1,0,1,2,5,5,0,723,,10,733,
206,694,44,1,0,1,0,0,14,0,0,1,0,0,0,0,4,8,2,769,,4,773,
207,910,64,0,0,0,0,0,18,0,0,0,0,0,0,0,1,3,1,997,,11,1008,
208,614,64,0,0,1,0,1,8,0,1,0,0,1,1,0,1,2,0,694,,5,699,
209,738,72,6,1,1,1,1,5,0,0,2,0,0,1,1,4,3,0,836,,7,843,
210,410,216,3,1,0,1,0,15,2,1,0,0,0,1,2,7,11,7,677,,2,679,
211,709,96,1,0,1,0,0,2,0,1,14,0,1,0,1,1,1,3,831,,6,837,
212,345,204,1,0,0,0,1,6,1,0,0,0,0,2,3,11,5,4,583,,3,586,
213,467,30,2,0,1,0,0,2,0,0,1,0,0,0,1,4,9,1,518,,8,526,
214,439,58,2,0,0,0,10,0,0,0,0,0,0,0,0,1,1,0,511,,6,517,
215,845,66,2,1,0,0,0,9,0,0,0,0,1,0,0,3,0,0,927,,11,938,
216,718,74,1,1,1,0,0,12,0,1,1,0,0,2,0,4,24,8,847,,15,862,
217,505,96,2,0,0,0,0,10,0,0,0,0,0,0,0,1,8,1,623,,18,641,
218,222,24,0,0,0,0,0,6,0,0,3,0,0,0,0,0,2,1,258,,4,262,
219,498,39,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,540,,4,544,
220,346,41,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,398,,6,404,
221,570,92,1,0,0,1,2,15,0,0,0,0,0,8,0,3,3,0,695,,5,700,
222,365,40,2,0,0,0,0,7,0,0,0,0,1,1,0,1,2,2,421,,4,425,
223,425,51,1,2,0,0,0,9,0,2,0,0,0,0,0,2,8,2,502,,11,513,
224,542,75,1,1,0,1,0,14,0,0,1,0,0,0,1,0,1,1,638,,13,651,
225,561,38,0,0,0,0,0,8,0,0,0,0,0,1,0,2,1,0,611,,6,617,
226,523,53,1,0,0,0,1,13,0,1,0,0,0,0,0,1,1,1,595,,11,606,
