Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes,of 11
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,,,,,,,
133,357,112,3,0,1,0,1,1,1,1,1,2,3,7,2,15,5,1,6,517,0,517,0,0,
134,292,39,5,0,0,0,0,0,0,0,0,0,0,1,1,7,3,0,1,349,0,349,0,0,
135,461,150,1,1,1,0,1,1,0,2,1,2,3,1,4,18,7,1,3,657,0,657,0,0,
136,190,124,2,0,1,0,0,0,1,0,0,1,1,1,4,7,3,4,2,341,0,341,0,0,
137,608,49,0,1,2,0,1,3,0,0,1,2,3,3,3,10,11,1,3,698,0,698,0,0,
138,202,286,3,1,0,1,0,3,0,0,0,2,2,0,2,6,1,6,1,515,0,515,0,0,
139,469,103,3,0,0,0,0,3,1,1,0,1,1,1,6,9,3,1,4,605,0,605,0,0,
140,207,31,0,0,0,0,0,1,0,0,1,0,1,0,2,3,9,3,1,258,0,258,0,0,
141,206,271,19,37,0,0,0,1,0,2,1,0,1,0,4,9,4,1,3,558,0,558,0,0,
142,199,114,5,0,0,1,1,5,2,0,1,0,1,3,4,12,1,2,1,352,0,352,0,0,
143,71,115,196,6,1,0,0,1,0,0,0,0,0,0,0,1,1,0,4,396,0,396,0,0,
144,447,196,6,1,0,0,0,0,3,1,0,1,1,2,2,10,3,2,3,677,0,677,0,0,
145,619,114,3,1,0,0,0,2,0,1,1,0,1,1,3,10,10,2,1,768,0,768,0,0,
146,301,228,13,0,0,0,1,1,2,1,2,2,4,0,2,8,1,2,1,565,0,565,0,0,
147,239,132,1,0,1,0,0,0,0,0,0,0,0,0,3,4,7,1,2,390,0,390,0,0,
148,224,142,7,2,0,0,0,0,3,1,3,1,4,3,5,16,4,1,5,419,0,419,0,0,
149,480,40,2,3,0,0,2,0,1,0,0,2,2,3,3,15,15,2,3,573,0,573,0,0,
150,710,95,7,3,0,2,0,12,1,1,1,0,1,1,4,12,20,4,3,876,0,876,0,0,
151,571,125,7,2,1,2,0,3,1,2,2,5,7,4,5,15,3,2,2,754,0,754,0,0,
152,494,141,6,0,0,1,0,1,0,1,4,2,6,3,9,30,8,2,10,717,0,717,0,0,
153,298,125,4,0,0,2,2,0,0,1,0,2,2,2,8,17,3,1,4,472,0,472,0,0,
154,330,215,5,3,0,0,1,14,1,0,0,1,1,2,3,11,2,1,2,593,0,593,0,0,
155,265,60,1,1,0,0,0,2,0,0,0,0,0,2,3,13,4,1,0,352,0,352,0,0,
156,414,14,0,0,0,0,0,1,0,0,0,0,0,2,0,5,4,2,0,442,0,442,0,0,
157,311,83,1,0,0,0,0,0,0,0,1,0,1,0,5,4,4,0,3,412,0,412,0,0,
158,316,259,5,1,0,0,0,5,0,0,1,3,4,2,1,15,7,2,2,621,0,621,0,0,
159,297,75,0,1,0,0,0,3,0,0,1,1,2,3,2,3,11,4,1,403,0,403,0,0,
160,341,119,4,2,1,0,0,5,2,3,1,2,3,2,9,13,9,1,5,519,0,519,0,0,
161,200,137,3,1,2,0,1,2,1,0,1,3,4,3,8,18,5,3,3,392,0,392,0,0,
162,395,169,4,1,0,1,3,10,3,1,5,2,7,1,3,15,2,0,3,619,0,619,0,0,
163,170,225,7,2,1,0,2,2,1,0,1,2,3,3,1,6,7,7,3,441,0,441,0,0,
164,380,92,5,1,0,1,0,0,0,2,1,2,3,2,7,17,14,5,4,537,0,537,0,0,
165,659,89,7,0,1,0,3,2,4,3,6,3,9,3,6,34,40,10,4,876,0,876,0,0,
166,502,148,12,0,1,1,1,2,0,3,3,4,7,1,13,27,13,4,8,745,0,745,0,0,
167,466,258,10,0,0,1,2,0,2,3,0,1,1,5,7,11,8,5,3,784,0,784,0,0,
168,209,207,3,1,0,2,0,0,0,0,0,1,1,0,4,6,3,2,4,443,0,443,0,0,
169,244,212,7,0,0,1,2,0,1,1,2,2,4,5,1,7,9,3,2,500,0,500,0,0,
170,452,77,0,0,1,1,0,0,1,0,0,1,1,0,0,14,5,1,0,553,0,553,0,0,
171,227,114,0,12,0,0,0,0,0,0,0,1,1,0,1,4,2,1,0,362,0,362,0,0,
172,435,149,5,0,1,0,0,0,1,1,1,1,2,1,6,11,8,5,1,629,0,629,0,0,
173,182,358,12,1,0,0,0,1,0,0,0,0,0,1,4,2,4,5,1,571,0,571,0,0,
174,391,78,2,1,0,2,0,2,2,0,0,1,1,0,0,8,2,1,0,490,0,490,0,0,
175,299,259,10,0,2,2,1,4,1,0,2,3,5,4,7,19,7,5,8,635,0,635,0,0,
176,533,92,6,3,0,2,0,0,1,0,1,6,7,1,6,36,11,6,5,709,0,709,0,0,
177,346,110,9,2,2,0,1,0,3,3,3,16,19,3,7,18,6,1,0,531,0,531,0,0,
178,336,152,6,3,0,2,2,1,3,1,0,9,9,3,7,14,6,5,5,558,0,558,0,0,
179,274,215,8,5,1,0,0,2,3,3,4,6,10,0,10,21,11,10,5,582,0,582,0,0,
180,438,230,0,3,1,0,1,0,0,1,0,2,2,3,3,6,0,2,1,692,0,692,0,0,
