Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,Total of valid votes,No. of Rejected votes,Nota,Total,No. of Tendere d votes
,Dilip Patel,Purshottambhai Alias Kanubhai Mathurbhai Chauhan,Solanki Bharatbhai Madhavsinh,Girishbhai Das (Advocate),Padhiyar Vikramsinh (Vakil),Mahida Mahendrasinh Sahebsinh,Ravjibhai S Parmar,Hitendrasinh Mohansinh Parmar,Patel Jayeshbhai Arvindbhai,Patel Dilipbhai Manilal,Patel Naineshkuma r Umedbhai,Parmar Amarsinh Dahyabhai,Rabari Hiteshkumar Laljibhai,Vahora Firojbhai Walimahamad bhai (Kasorwala),Vaghela Bharat P,,,,,
64,109,1,221,2,0,25,0,0,0,0,1,1,1,10,4,375,0,4,379,0
65,167,0,137,1,1,0,0,0,1,0,0,0,0,6,1,314,0,4,318,0
66,449,3,163,3,0,2,1,0,0,0,0,1,2,4,3,631,0,9,640,0
67,236,3,234,5,0,0,0,2,1,0,3,0,0,6,1,491,0,14,505,0
68,498,3,36,0,0,0,0,0,0,0,0,0,0,0,0,537,0,1,538,0
69,357,3,116,1,0,0,1,0,1,1,0,0,0,0,0,480,0,6,486,0
70,21,2,577,2,0,0,0,1,0,0,0,1,0,1,0,605,0,1,606,0
71,12,2,582,4,0,2,1,0,2,0,0,0,2,2,0,609,0,1,610,0
72,19,0,380,3,0,0,1,0,2,0,0,1,2,4,2,414,0,1,415,0
73,34,1,551,1,1,2,0,0,2,0,0,0,0,2,1,595,0,1,596,0
74,3,2,406,3,0,0,0,0,0,0,0,0,0,2,2,418,0,0,418,0
75,28,3,324,1,1,0,1,0,1,0,0,0,3,4,1,367,0,1,368,0
76,59,0,346,3,0,0,0,0,1,0,0,2,0,2,1,414,0,2,416,0
77,15,0,349,0,1,1,0,1,1,0,0,0,3,1,0,372,0,1,373,0
78,55,0,435,5,1,0,0,1,0,0,0,0,1,8,0,506,0,3,509,0
79,29,2,562,6,0,1,0,3,0,1,0,0,3,5,0,612,0,3,615,0
80,101,2,322,3,0,1,0,0,1,1,0,2,7,4,3,447,0,6,453,0
81,63,1,454,1,0,0,1,0,0,0,0,1,1,4,0,526,0,3,529,0
82,14,0,481,6,0,0,0,0,0,0,0,1,1,3,0,506,0,1,507,0
83,292,0,166,3,0,2,0,0,0,0,0,1,0,1,0,465,0,11,476,0
84,409,4,212,4,3,2,1,0,0,0,1,2,0,1,0,639,0,16,655,0
85,420,3,142,0,1,1,0,1,1,1,2,2,4,3,3,584,0,29,613,0
86,451,1,156,1,0,0,0,1,0,2,0,3,1,3,1,620,0,10,630,0
87,213,3,297,3,0,1,1,10,5,2,3,8,6,9,9,570,0,11,581,0
88,123,7,351,5,1,1,1,4,2,0,1,0,0,2,4,502,0,4,506,0
89,277,2,200,3,0,0,0,1,2,0,1,0,1,3,3,493,0,8,501,0
90,389,3,175,5,1,0,1,3,0,2,1,0,3,8,5,596,0,13,609,0
91,476,4,38,0,0,1,0,1,0,0,0,0,1,1,0,522,0,12,534,0
