polling station,NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
107,179,220,4,0,6,2,1,4,0,1,1,1,0,0,4,5,6,8,4,3,1,1,1,2,0,454,0,4,458,0
108,39,44,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,89,0,1,90,0
109,353,257,5,0,3,0,1,0,0,1,1,3,1,1,3,4,2,7,3,0,0,1,1,0,1,648,0,3,651,0
110,151,54,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,210,0,1,211,0
111,234,329,6,1,2,1,0,1,2,1,0,2,1,0,5,5,10,4,4,1,2,3,1,3,1,619,0,9,628,0
112,86,74,2,0,3,0,2,0,0,0,1,1,0,0,1,5,3,0,0,0,1,0,0,0,0,179,0,1,180,0
113,206,258,8,1,10,0,2,1,0,0,1,3,2,2,1,3,5,2,2,1,2,1,0,3,3,517,0,6,523,0
114,168,226,2,2,0,0,0,3,0,1,1,3,1,2,2,14,7,4,3,2,2,2,3,1,1,450,0,3,453,0
115,128,121,0,0,8,0,0,0,0,0,1,0,0,0,1,3,3,1,2,0,0,0,0,1,0,269,0,1,270,0
116,204,163,12,1,0,0,0,0,1,1,1,1,0,1,1,6,4,2,0,3,0,0,1,0,1,403,0,1,404,0
117,279,130,8,0,2,2,0,1,0,0,0,3,0,0,6,6,7,4,2,0,1,0,1,0,0,452,0,6,458,0
118,323,135,3,0,0,1,0,0,0,0,0,1,2,0,0,2,1,1,0,0,0,0,0,1,0,470,0,2,472,0
119,255,87,4,2,0,0,0,1,1,1,1,1,2,2,1,6,3,2,1,1,0,0,1,4,0,376,0,6,382,0
120,153,157,9,1,0,2,1,0,1,0,0,0,3,1,9,10,4,3,1,3,0,1,2,0,0,361,0,6,367,0
121,49,437,5,0,0,1,1,0,1,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,501,0,0,501,0
122,61,130,2,1,0,0,0,0,1,0,0,1,0,1,2,3,3,2,1,0,0,0,0,0,1,209,0,2,211,0
123,42,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,1,83,0
124,28,303,1,2,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,341,0,0,341,0
125,151,413,54,1,0,1,0,0,1,0,1,1,0,1,2,1,4,5,8,2,0,1,1,2,1,651,0,10,661,0
126,59,82,0,0,0,0,0,1,1,0,0,0,1,0,1,3,0,1,1,1,0,0,1,0,0,152,0,2,154,0
127,166,236,4,1,2,1,0,0,0,1,0,4,0,2,0,0,3,2,1,0,0,0,0,0,1,424,0,4,428,0
128,59,233,33,0,3,0,0,0,2,0,0,0,4,1,2,8,2,3,1,0,1,0,1,0,0,353,0,2,355,0
129,116,172,2,1,1,0,2,1,3,0,1,1,1,1,1,6,9,4,1,1,1,1,0,2,1,329,0,6,335,0
