polling station,,,,,,,,,,,,,,,,,,,,,,,,
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPA,No. Tendered Votes
130,286,259,3,0,1,0,0,34,1,0,0,0,0,0,0,3,2,2,17,608,0,608,0,0
131,88,155,1,4,1,1,0,2,0,2,0,0,0,1,1,7,0,2,1,266,0,266,0,0
132,382,163,1,0,0,0,1,14,0,1,0,0,0,0,2,2,1,0,18,585,0,585,0,0
133,279,409,14,4,1,1,1,16,1,0,0,1,1,0,1,9,1,0,9,748,0,748,0,0
134,388,207,2,2,0,0,0,13,0,1,0,0,0,0,0,8,5,1,12,640,0,640,0,0
135,191,114,1,0,0,0,0,13,0,0,0,0,0,0,0,2,0,1,4,326,0,326,0,0
136,178,308,11,6,1,1,0,8,0,0,1,0,1,0,1,1,5,7,8,536,0,536,0,0
136,239,237,7,10,0,0,0,8,0,0,0,1,1,0,1,2,1,2,5,513,0,513,0,0
137,541,266,3,2,0,1,2,16,0,0,0,0,0,0,4,13,1,3,11,863,0,863,0,0
138,397,405,7,3,0,1,3,12,2,2,5,6,11,9,7,30,7,6,3,909,0,909,0,0
139,261,354,7,1,1,4,5,6,1,2,4,3,7,10,16,24,8,6,7,723,0,723,0,0
140,54,116,3,1,0,1,1,1,0,0,0,1,1,1,0,2,1,4,0,186,0,186,0,0
141,294,349,22,0,1,49,0,9,1,0,0,0,0,0,1,0,0,0,12,738,0,738,0,0
142,147,248,8,1,0,28,0,7,0,0,0,0,0,0,0,0,0,1,10,450,0,450,0,0
143,306,180,4,4,1,16,0,18,1,0,0,0,0,0,0,1,0,0,7,538,0,538,0,0
144,276,197,5,1,1,4,2,83,6,1,1,1,2,4,4,19,2,2,5,618,0,618,0,0
145,253,386,7,0,0,0,3,6,0,3,0,1,1,3,4,11,5,9,6,697,0,697,0,0
146,157,113,1,0,0,0,1,9,1,0,0,0,0,0,1,0,2,2,8,295,0,295,0,0
147,288,333,2,1,0,0,1,27,0,0,0,0,0,0,2,2,6,6,7,675,0,675,0,0
148,235,363,5,1,0,0,0,25,0,1,0,1,1,2,5,1,1,1,8,650,0,650,0,0
149,248,238,3,0,0,0,0,31,0,0,1,0,1,0,0,0,2,2,7,532,0,532,0,0
150,226,257,3,0,0,0,0,26,0,0,0,0,0,0,0,3,1,0,15,531,0,531,0,0
151,96,108,0,0,0,0,1,11,0,0,0,0,0,0,0,1,0,1,3,222,0,222,0,0
152,500,218,7,0,0,0,2,49,0,2,1,0,1,0,0,1,2,3,20,805,0,805,0,0
153,165,212,3,0,0,0,3,17,0,0,0,0,0,0,2,1,1,3,5,412,0,412,0,0
154,364,181,4,1,0,1,0,18,0,0,0,2,2,4,1,6,4,5,9,601,0,601,0,0
155,188,117,2,0,0,0,0,12,0,1,0,0,0,0,3,2,4,2,5,336,0,336,0,0
156,163,301,9,2,1,0,1,7,0,0,1,1,2,7,4,14,6,9,11,541,0,541,0,0
157,171,248,0,3,0,0,0,13,0,0,0,0,0,1,0,1,0,2,6,445,0,445,0,0
158,256,217,0,0,0,0,0,23,1,0,0,0,0,0,0,5,0,1,3,506,0,506,0,0
