Sr.No of Polling Station,No.of Valid Votes Cast Favour of,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Voted,,Total,No.Tendred Votes
,KOLIPATEL SOMABHAI GANDABHAI,PARMAR MINAXIBEN VIJAYBHAI,FATEPARA DEVJIBHAI GOVINDBHAI,PATEL JETHABHAI MANJIBHAI,BAR AJAMALBHAI KARMANBHAI,MAJETHIYA SAMARATBHAI JERAMBHAI,CHAVADA PALABHAI NANJIBHAI,PARMAR PARBHUBHAI GOKABHAI,PARMARVASHARAMBHAI BAVALBHAI,MAKWANA UKABHAI AMRATBHAI,MAKWANA VASHARAMBHAI KARSHANBHAI,ZALA MANSINH SHIVUBHA ,VADALIYA KALUBHAI MALUBHAI,VAGEHLA PRAKASHBHAI BACHUBHAI,VORA BHAVABHAI DEVABHAI,SAPARA VIPULBHAI RAMESHBHAI,SANKALIYA GANGARAMBHAI TAPUBHAI ,,,NOTA,,
230,138,10,244,4,0,0,0,1,2,0,0,0,2,7,2,11,2,423,,6,429,
231,155,7,368,21,0,0,0,2,0,3,3,4,2,6,4,8,1,584,,2,586,
232,122,1,437,7,0,0,1,1,0,3,0,1,3,9,2,24,4,615,,4,619,
233,235,9,295,9,1,0,0,0,2,1,2,0,1,4,4,20,2,585,,6,591,
234,173,1,237,9,0,1,0,1,0,0,0,1,2,5,2,14,4,450,,1,451,
235,151,7,311,3,1,0,1,4,0,0,0,1,2,11,2,6,5,505,,6,511,
236,157,7,475,8,2,0,1,3,5,4,5,1,4,4,1,14,8,699,,7,706,
237,399,19,288,7,1,1,0,1,1,1,2,2,1,6,7,10,11,757,,7,764,
238,119,2,488,5,0,0,0,1,1,1,1,0,2,4,1,7,5,637,,7,644,
239,147,4,586,13,0,1,2,1,0,0,1,1,1,10,3,13,2,785,,7,792,
240,169,1,487,10,0,0,1,1,0,2,0,3,2,11,1,10,4,702,,9,711,
241,220,5,381,15,2,2,0,1,0,0,0,2,5,3,1,9,6,652,,9,661,
242,341,5,274,20,0,3,3,0,3,1,3,2,5,10,5,21,7,703,,2,705,
243,301,9,257,4,0,0,1,0,0,1,0,3,1,1,1,10,7,596,,0,596,
244,287,2,285,1,0,0,2,0,3,1,1,1,1,4,2,19,4,613,,3,616,
245,275,6,286,8,1,1,5,5,2,2,0,2,5,11,3,11,9,632,,5,637,
246,305,3,351,10,1,0,0,3,1,0,2,2,4,4,2,16,8,712,,7,719,
247,43,0,174,3,0,1,0,0,0,0,0,1,0,0,0,2,1,225,,4,229,
248,33,3,196,0,0,0,1,0,0,1,0,0,0,1,0,4,2,241,,1,242,
249,99,0,184,1,0,0,0,0,0,0,0,0,0,0,0,1,0,285,,0,285,
250,205,0,117,1,0,1,0,0,0,0,1,0,0,1,0,6,3,335,,1,336,
251,286,6,195,1,1,1,1,1,1,1,0,0,0,0,2,3,2,501,,2,503,
252,331,16,84,10,0,0,2,1,1,0,0,0,0,2,3,7,10,467,,6,473,
253,166,7,180,2,1,2,0,2,1,0,0,3,2,1,1,4,6,378,,11,389,
254,158,2,48,1,1,1,0,1,0,1,0,0,1,3,4,6,17,244,,2,246,
255,392,6,69,2,0,0,0,1,2,1,0,0,1,1,2,3,1,481,,1,482,
256,171,5,190,5,0,0,0,1,1,2,1,2,0,3,6,16,17,420,,11,431,
257,58,1,253,8,1,0,0,0,2,0,1,0,3,6,2,4,0,339,,2,341,
258,270,13,272,7,1,0,1,1,1,1,0,1,3,2,4,10,14,601,,2,603,
259,335,8,226,5,1,2,1,6,1,2,0,3,1,2,5,11,7,616,,2,618,
260,19,5,337,2,0,0,0,0,0,1,0,1,3,3,1,7,1,380,,1,381,
261,16,4,218,5,0,0,0,0,0,0,0,1,1,1,2,10,3,261,,3,264,
262,97,6,497,10,0,1,0,3,1,0,3,2,2,9,7,21,7,666,,12,678,
