Serial No. of Polling Station,No. Of Valid Votes Cast in favour of,,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid,No. Of rejecte d Votes,NOTA,Total,NO. OF Tender ed Votes
,AHIR VIKR AMB HAI,POO NAM BEN HEM,SAM A YUS UF,KAS AMB HAI,JHAL A RAJE NDR,SAIY AD ABU BAK,CHA NDR AVIJ AYSI,DALI T ASH OK,DALI T JITE SH,DHA NJIB HAI LALJ,DHA RAVI YA VAL,NARI YA PRA VINB,PAD HIY AR LALJ,PAN DYA CHIR AGB,BAT HWA R NAN,MA MAD HAJI BOLI,MEM AN RAFI K,VAG HER ALI ISHA,VAG HER JAVI DBH,VAN IYA GAN GAJI,SAC HAD A HABI,SUT HAR HAN SAB,SUM ARA AMA NDB,SOD HA SALI MBH,SAN DHI MA MAD,,,,,,
139,171,438,2,0,0,1,0,0,0,1,0,1,1,0,1,4,4,0,0,1,1,0,0,2,0,2,628,0,2,630,0
140,152,340,3,0,0,0,1,0,0,0,1,4,2,1,3,9,4,7,1,2,1,0,2,1,0,1,534,0,1,535,0
141,68,278,3,2,1,2,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,359,0,1,360,0
142,162,406,1,2,4,0,0,0,0,4,0,1,1,0,0,1,1,0,2,1,1,0,1,0,1,2,589,0,2,591,0
143,453,207,4,0,2,0,1,0,0,0,0,2,2,0,2,5,6,1,0,0,0,0,0,1,1,4,687,0,4,691,0
144,82,65,0,1,0,0,0,1,0,0,0,1,0,1,1,5,1,0,0,0,0,0,0,0,0,0,158,0,0,158,0
144A,104,68,0,1,0,0,0,0,1,0,0,0,1,0,0,2,2,2,1,0,0,0,1,0,0,0,183,0,0,183,0
145,316,177,1,1,0,1,1,1,0,0,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,506,0,1,507,0
146,140,207,3,0,2,1,1,0,0,1,3,1,0,1,8,8,0,0,1,0,1,0,0,1,0,6,379,0,6,385,0
147,133,227,7,1,1,1,0,0,0,0,0,0,0,0,3,7,4,2,1,0,1,0,0,0,2,2,390,0,2,392,0
148,139,123,0,1,1,0,0,0,0,0,1,1,0,0,0,4,2,1,2,1,0,0,0,0,0,0,276,0,0,276,0
149,143,161,1,1,0,0,1,0,0,0,0,0,1,1,0,3,1,2,0,1,0,0,1,1,0,0,318,0,0,318,0
150,120,145,0,1,2,1,1,0,0,0,1,1,3,2,2,1,1,1,0,0,0,0,0,0,0,1,282,0,1,283,0
151,182,290,1,3,1,1,0,0,0,0,0,1,1,0,1,3,1,2,0,2,0,1,0,0,0,0,490,0,0,490,0
152,96,256,3,2,5,2,1,0,1,0,3,0,1,1,3,6,1,0,0,0,0,0,1,0,1,3,383,0,3,386,0
153,56,144,3,0,1,1,0,0,0,1,0,0,0,1,2,2,0,3,0,0,0,0,0,0,0,2,214,0,2,216,0
154,107,246,2,1,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,0,1,363,0,1,364,0
155,115,228,1,1,0,0,1,0,1,0,0,0,0,0,0,1,7,1,0,1,0,0,0,0,0,0,357,0,0,357,0
156,179,193,4,1,1,0,0,0,0,0,0,1,0,0,0,1,3,2,0,1,0,0,0,0,1,0,387,0,0,387,0
