Sr. No. & Name of Polling Station,No. of Valid Votes cast in favour of,,,,,,,,,,,,,,,,Total  Valid  Votes tendered,No. of Rejected  Votes(Test Votes),Total,No. of Tendered Votes
,Chauhan devusinh  Jesingbhai (Chauhan  Devusinh),Dinsha Patel,Pandav Bhailalbhai  Kalubhai,Abdul Razakkhan  Pathan,Badhiwala Labhubhai Jivrajbhai,Ranveer Pranayraj  Govindbhai,Khristi Adward  Khushalbhai,Chauhan Devusing  Motishing,Pathan Amanullakha  Sitabkha,Parikh Viral  Hasmukhbhai,Malek  Yakubmiya  Nabimiya,Malek Sadik Husen  Mahammd Hushen,Malek Sabirhusen  Ismailbhai,Ratansinh Udesinh  Chauhan,Roshan Priyavadan  Shah,None Of the above  (NOTA),,,,
208,123,190,3,0,2,2,1,3,0,0,0,1,0,2,2,1,330,0,330,0
209,190,202,3,1,1,1,0,0,1,0,3,0,3,3,5,14,427,0,427,0
210,175,118,2,1,0,0,0,3,0,0,0,0,1,1,7,7,315,0,315,0
211,71,171,2,0,21,0,0,1,0,1,0,1,1,1,2,3,275,0,275,0
212,121,202,1,1,1,0,0,2,0,0,1,0,3,1,2,4,339,0,339,0
213,78,169,0,2,0,0,1,1,0,0,0,0,1,1,4,6,263,0,263,0
214,113,202,2,1,0,0,0,1,0,0,0,1,2,4,3,1,330,0,330,0
215,77,225,1,0,0,1,1,0,0,0,0,1,7,1,1,5,320,0,320,0
216,326,216,4,0,1,1,0,0,1,1,1,0,3,4,4,21,583,0,583,0
217,440,73,4,2,0,0,0,2,0,0,0,0,0,2,5,19,547,0,547,0
218,225,388,1,0,0,0,0,0,0,0,0,1,2,2,8,10,637,0,637,0
219,153,342,0,1,2,0,0,1,0,1,0,0,2,0,6,16,524,0,524,0
220,104,306,1,0,0,0,0,1,0,0,0,0,1,0,4,1,418,0,418,0
221,656,44,1,1,1,0,0,1,0,0,0,1,0,3,2,21,731,0,731,0
222,339,46,1,0,0,0,0,0,0,0,0,1,0,0,1,9,397,0,397,0
223,542,64,2,0,0,0,0,0,0,0,0,0,0,1,4,10,623,0,623,0
224,476,45,2,0,0,0,0,2,2,1,1,3,1,0,5,21,559,0,559,0
225,334,140,2,1,0,0,0,0,0,0,2,0,4,4,10,23,520,0,520,0
226,336,180,2,0,0,0,0,3,0,0,1,0,1,2,8,9,542,0,542,0
227,226,69,0,0,3,0,0,0,0,0,0,1,0,0,2,12,313,0,313,0
228,215,38,2,2,1,0,1,1,0,0,0,0,0,1,0,4,265,0,265,0
229,340,166,2,0,3,0,0,2,0,1,1,1,2,2,4,12,536,0,536,0
230,146,151,0,1,0,0,1,0,0,1,2,1,2,3,4,6,318,0,318,0
231,127,52,2,0,0,0,0,0,0,0,0,0,0,1,1,4,187,0,187,0
232,328,169,0,1,2,1,0,0,0,0,0,0,0,1,3,7,512,0,512,0
233,70,221,4,3,1,0,1,2,0,0,0,0,2,3,3,9,319,0,319,0
234,241,45,0,0,0,0,0,0,0,0,0,0,1,1,1,5,294,0,294,0
235,109,369,3,2,5,0,0,1,0,0,0,0,2,0,5,4,500,0,500,0
236,540,72,1,0,0,0,1,2,1,0,1,0,1,2,2,8,631,0,631,0
237,441,71,7,0,0,1,0,1,0,0,0,2,3,4,2,13,545,0,545,0
238,285,129,1,1,0,0,0,0,0,0,1,0,3,5,1,9,435,0,435,0
239,171,99,2,0,0,0,0,0,0,0,0,2,2,2,2,10,290,0,290,0
240,221,207,1,0,1,0,1,0,1,0,1,1,2,2,7,11,456,0,456,0
241,306,172,0,0,0,1,0,2,1,0,0,2,1,0,5,19,509,0,509,0
242,175,209,1,2,0,0,1,0,0,1,0,0,1,3,5,14,412,0,412,0
243,156,36,1,0,1,0,0,2,0,0,0,0,2,1,2,13,214,0,214,0
244,163,52,2,1,1,0,0,0,0,0,0,1,1,2,3,6,232,0,232,0
245,168,377,8,2,1,0,1,3,2,3,1,6,7,12,13,15,619,0,619,0
246,240,267,4,1,1,2,0,1,1,1,1,2,10,10,9,24,574,0,574,0
247,833,90,1,2,2,0,0,0,0,0,0,0,0,0,0,8,936,0,936,0
248,651,55,1,1,1,0,0,2,0,0,0,0,1,0,0,5,717,0,717,0
249,435,256,0,0,6,0,0,1,0,0,0,0,0,2,3,2,705,0,705,0
250,188,640,5,0,0,2,0,1,2,1,1,0,0,3,9,12,864,0,864,0
251,385,273,5,1,3,0,0,0,0,1,2,2,4,3,7,17,703,0,703,0
252,433,291,3,1,3,0,0,1,3,0,0,1,0,3,5,15,759,0,759,0
253,320,407,6,1,1,0,3,1,4,0,2,2,3,7,8,28,793,0,793,0
254,404,348,4,1,9,0,3,0,0,0,0,0,2,3,1,15,790,0,790,0
255,908,125,1,1,2,0,1,2,0,0,0,0,2,0,1,18,1061,0,1061,0
256,245,552,17,0,10,0,1,2,1,2,0,2,7,1,8,17,865,0,865,0
257,399,348,2,2,4,0,0,1,1,1,1,1,4,5,16,39,824,0,824,0
258,218,99,1,1,2,0,0,0,1,2,1,0,1,3,2,14,345,0,345,0
259,319,78,0,1,0,0,0,1,0,0,0,0,1,0,0,6,406,0,406,0
260,232,158,3,0,2,0,0,1,0,0,0,0,1,2,4,25,428,0,428,0
261,436,82,1,0,1,0,0,1,0,0,0,0,2,1,0,8,532,0,532,0
262,73,156,2,1,1,0,1,1,0,1,1,0,0,0,6,6,249,0,249,0
263,104,80,4,0,0,0,0,1,0,1,1,1,1,4,4,10,211,0,211,0
264,202,42,2,0,0,0,0,0,0,0,1,0,1,0,1,4,253,0,253,0
265,140,172,2,0,0,0,1,0,0,0,0,1,3,0,4,6,329,0,329,0
266,62,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,106,0,106,0
267,157,93,3,0,0,0,3,0,2,1,0,0,1,1,1,1,263,0,263,0
268,29,465,1,1,2,1,0,0,0,0,0,0,0,3,7,2,511,0,511,0
269,236,74,4,0,6,0,0,0,0,0,1,1,3,1,5,26,357,0,357,0
270,123,219,2,0,1,2,0,0,0,0,1,0,3,1,5,3,360,0,360,0
271,171,140,2,0,0,0,0,0,1,0,0,0,2,1,9,13,339,0,339,0
272,141,395,4,0,1,0,1,2,0,1,1,2,4,2,8,6,568,0,568,0
273,158,194,6,0,0,0,0,0,0,2,0,0,1,2,3,5,371,0,371,0
274,128,165,2,0,0,1,0,1,0,0,1,2,1,1,6,7,315,0,315,0
275,369,59,0,1,0,1,0,0,1,0,0,1,1,0,4,10,447,0,447,0
276,250,200,5,0,2,0,0,0,0,2,1,1,0,2,7,10,480,0,480,0
277,207,162,2,1,2,0,0,1,0,1,0,1,7,7,12,23,426,0,426,0
278,421,181,5,0,0,0,2,1,0,0,0,1,4,0,5,17,637,0,637,0
279,119,149,4,2,0,0,0,0,1,3,0,1,0,3,3,3,288,0,288,0
280,169,58,1,0,0,0,0,1,0,0,0,1,0,0,0,3,233,0,233,0
281,423,122,5,1,2,2,0,0,0,0,0,1,1,3,5,26,591,0,591,0
282,436,269,3,1,3,1,3,1,0,3,0,0,0,2,6,6,734,0,734,0
283,278,241,3,1,0,0,0,1,0,0,0,0,3,2,20,16,565,0,565,0
284,169,279,2,1,1,0,2,1,2,1,1,3,4,4,14,17,501,0,501,0
285,113,271,2,0,1,0,1,1,0,2,1,2,4,3,4,5,410,0,410,0
286,398,161,4,1,1,0,1,0,0,0,1,2,3,1,7,18,598,0,598,0
287,256,130,4,0,0,1,0,1,0,0,1,0,1,0,2,12,408,0,408,0
